sequence,key,open,high,low,close,volume,time,chart_day,time_et
412,TSLA,448.6,448.9893,448.49,448.57,136678.0,1761933120000,20392,2025-10-31 13:52:00 EDT
413,TSLA,448.57,448.8,448.4209,448.62,63342.0,1761933180000,20392,2025-10-31 13:53:00 EDT
414,TSLA,448.62,448.63,448.1001,448.4451,65677.0,1761933240000,20392,2025-10-31 13:54:00 EDT
415,TSLA,448.39,448.49,447.84,448.0,129289.0,1761933300000,20392,2025-10-31 13:55:00 EDT
416,TSLA,447.95,448.55,447.7501,448.51,98737.0,1761933360000,20392,2025-10-31 13:56:00 EDT
417,TSLA,448.51,448.5499,447.93,447.955,76756.0,1761933420000,20392,2025-10-31 13:57:00 EDT
418,TSLA,447.92,448.37,447.81,448.2,77080.0,1761933480000,20392,2025-10-31 13:58:00 EDT
419,TSLA,448.205,448.56,448.1828,448.455,53194.0,1761933540000,20392,2025-10-31 13:59:00 EDT
420,TSLA,448.49,449.1378,448.386,449.0924,124458.0,1761933600000,20392,2025-10-31 14:00:00 EDT
421,TSLA,449.125,449.79,449.07,449.488,158122.0,1761933660000,20392,2025-10-31 14:01:00 EDT
422,TSLA,449.46,449.6899,449.26,449.49,82328.0,1761933720000,20392,2025-10-31 14:02:00 EDT
423,TSLA,449.5399,449.7,449.29,449.4045,80828.0,1761933780000,20392,2025-10-31 14:03:00 EDT
424,TSLA,449.38,449.92,449.31,449.59,112536.0,1761933840000,20392,2025-10-31 14:04:00 EDT
425,TSLA,449.64,449.84,449.4001,449.4901,66732.0,1761933900000,20392,2025-10-31 14:05:00 EDT
426,TSLA,449.5,449.6,449.14,449.4657,98166.0,1761933960000,20392,2025-10-31 14:06:00 EDT
427,TSLA,449.525,449.97,449.44,449.76,79735.0,1761934020000,20392,2025-10-31 14:07:00 EDT
